Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Ventral auditory area/ layer 4,AUDv4,990,right,all,2901,273.695,825.355,2901,273.695,825.355
Ventral auditory area/ layer 5,AUDv5,1023,left,all,7387,317.719,1071.96,7387,317.719,1071.96
Ventral auditory area/ layer 5,AUDv5,1023,right,all,7257,248.811,811.398,7257,248.811,811.398
Ventral auditory area/ layer 6a,AUDv6a,520,left,all,3828,257.603,1011.84,3828,257.603,1011.84
Ventral auditory area/ layer 6a,AUDv6a,520,right,all,2471,214.909,783.429,2471,214.909,783.429
Ventral auditory area/ layer 6b,AUDv6b,598,left,all,311,257.037,972.576,311,257.037,972.576
Ventral auditory area/ layer 6b,AUDv6b,598,right,all,129,94.3616,618.659,129,94.3616,618.659
Visual areas,VIS,669,left,all,44799,244.387,1012.72,44799,244.387,1012.72
Visual areas,VIS,669,right,all,81769,203.47,785.267,81769,203.47,785.267
Anterolateral visual area,VISal,402,left,all,2324,179.701,805.005,2324,179.701,805.005
Anterolateral visual area,VISal,402,right,all,7038,193.191,682.434,7038,193.191,682.434
Anterolateral visual area/ layer 1,VISal1,1074,left,all,0,0,0,0,0,0
Anterolateral visual area/ layer 1,VISal1,1074,right,all,377,137.827,491.424,377,137.827,491.424
Anterolateral visual area/ layer 2/3,VISal2/3,905,left,all,0,0,0,0,0,0
Anterolateral visual area/ layer 2/3,VISal2/3,905,right,all,1580,160.565,601.423,1580,160.565,601.423
Anterolateral visual area/ layer 4,VISal4,1114,left,all,0,0,0,0,0,0
Anterolateral visual area/ layer 4,VISal4,1114,right,all,1225,174.636,655.22,1225,174.636,655.22
Anterolateral visual area/ layer 5,VISal5,233,left,all,525,171.786,743.03,525,171.786,743.03
Anterolateral visual area/ layer 5,VISal5,233,right,all,2215,232.562,769.786,2215,232.562,769.786
