Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Primary auditory area/ layer 4,AUDp4,816,left,all,2978,6864.16,645.808,2978,6864.16,645.808
Primary auditory area/ layer 4,AUDp4,816,right,all,1946,7598.1,601.883,1946,7598.1,601.883
Primary auditory area/ layer 5,AUDp5,847,left,all,7203,6417.66,630.549,7203,6417.66,630.549
Primary auditory area/ layer 5,AUDp5,847,right,all,4602,6535.31,570.251,4602,6535.31,570.251
Primary auditory area/ layer 6a,AUDp6a,954,left,all,948,5549.61,605.503,948,5549.61,605.503
Primary auditory area/ layer 6a,AUDp6a,954,right,all,518,6526.75,565.268,518,6526.75,565.268
Primary auditory area/ layer 6b,AUDp6b,1005,left,all,139,5376.67,639.82,139,5376.67,639.82
Primary auditory area/ layer 6b,AUDp6b,1005,right,all,93,7430.99,577.333,93,7430.99,577.333
Posterior auditory area,AUDpo,1027,left,all,2941,5181.15,561.822,2941,5181.15,561.822
Posterior auditory area,AUDpo,1027,right,all,2474,5376.03,497.287,2474,5376.03,497.287
Posterior auditory area/ layer 1,AUDpo1,696,left,all,153,4797.38,491.948,153,4797.38,491.948
Posterior auditory area/ layer 1,AUDpo1,696,right,all,226,4760.15,443.549,226,4760.15,443.549
Posterior auditory area/ layer 2/3,AUDpo2/3,643,left,all,810,5283.71,558.091,810,5283.71,558.091
Posterior auditory area/ layer 2/3,AUDpo2/3,643,right,all,748,5241.77,490.098,748,5241.77,490.098
Posterior auditory area/ layer 4,AUDpo4,759,left,all,731,5698.19,564.561,731,5698.19,564.561
Posterior auditory area/ layer 4,AUDpo4,759,right,all,484,6187.7,511.017,484,6187.7,511.017
Posterior auditory area/ layer 5,AUDpo5,791,left,all,1028,4756.95,563.761,1028,4756.95,563.761
Posterior auditory area/ layer 5,AUDpo5,791,right,all,890,5098.26,503.194,890,5098.26,503.194
Posterior auditory area/ layer 6a,AUDpo6a,249,left,all,192,5218.52,600.76,192,5218.52,600.76
Posterior auditory area/ layer 6a,AUDpo6a,249,right,all,104,6413.73,540.942,104,6413.73,540.942
Posterior auditory area/ layer 6b,AUDpo6b,456,left,all,27,6165.66,644.852,27,6165.66,644.852
Posterior auditory area/ layer 6b,AUDpo6b,456,right,all,22,4742.44,546.409,22,4742.44,546.409
Ventral auditory area,AUDv,1018,left,all,11211,5859.17,583.362,11211,5859.17,583.362
Ventral auditory area,AUDv,1018,right,all,8844,5984.41,538.815,8844,5984.41,538.815
Ventral auditory area/ layer 1,AUDv1,959,left,all,461,6235.99,509.121,461,6235.99,509.121
Ventral auditory area/ layer 1,AUDv1,959,right,all,775,5091.39,483.159,775,5091.39,483.159
Ventral auditory area/ layer 2/3,AUDv2/3,755,left,all,1876,5205.78,550.951,1876,5205.78,550.951
Ventral auditory area/ layer 2/3,AUDv2/3,755,right,all,1987,5231.11,510.335,1987,5231.11,510.335
Ventral auditory area/ layer 4,AUDv4,990,left,all,1740,5723.45,569.313,1740,5723.45,569.313
Ventral auditory area/ layer 4,AUDv4,990,right,all,1380,6961.02,551.46,1380,6961.02,551.46
Ventral auditory area/ layer 5,AUDv5,1023,left,all,5674,6069.09,596.023,5674,6069.09,596.023
Ventral auditory area/ layer 5,AUDv5,1023,right,all,4001,6131.84,552.517,4001,6131.84,552.517
Ventral auditory area/ layer 6a,AUDv6a,520,left,all,1360,6009.68,615.212,1360,6009.68,615.212
Ventral auditory area/ layer 6a,AUDv6a,520,right,all,636,6381.85,578.511,636,6381.85,578.511
Ventral auditory area/ layer 6b,AUDv6b,598,left,all,100,4783.82,626.54,100,4783.82,626.54
Ventral auditory area/ layer 6b,AUDv6b,598,right,all,65,5961.51,572.708,65,5961.51,572.708
Visual areas,VIS,669,left,all,57184,6357.12,581.395,57184,6357.12,581.395
Visual areas,VIS,669,right,all,39866,6047.48,521.877,39866,6047.48,521.877
Anterolateral visual area,VISal,402,left,all,2761,5552.27,598.123,2761,5552.27,598.123
Anterolateral visual area,VISal,402,right,all,3046,6004.93,527.73,3046,6004.93,527.73
Anterolateral visual area/ layer 1,VISal1,1074,left,all,125,4488.95,528.464,125,4488.95,528.464
