Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Primary auditory area/ layer 6a,AUDp6a,954,right,all,2757,153.86,428.96,2757,153.86,428.96
Primary auditory area/ layer 6b,AUDp6b,1005,left,all,147,126.53,507.51,147,126.53,507.51
Primary auditory area/ layer 6b,AUDp6b,1005,right,all,536,158.252,406.974,536,158.252,406.974
Posterior auditory area,AUDpo,1027,left,all,7223,155.719,501.894,7223,155.719,501.894
Posterior auditory area,AUDpo,1027,right,all,2584,133.432,440.684,2584,133.432,440.684
Posterior auditory area/ layer 1,AUDpo1,696,left,all,1513,154.44,440.24,1513,154.44,440.24
Posterior auditory area/ layer 1,AUDpo1,696,right,all,0,0,0,0,0,0
Posterior auditory area/ layer 2/3,AUDpo2/3,643,left,all,1758,177.483,509.931,1758,177.483,509.931
Posterior auditory area/ layer 2/3,AUDpo2/3,643,right,all,243,162.068,458.802,243,162.068,458.802
Posterior auditory area/ layer 4,AUDpo4,759,left,all,872,139.834,530.295,872,139.834,530.295
Posterior auditory area/ layer 4,AUDpo4,759,right,all,262,145.391,468,262,145.391,468
Posterior auditory area/ layer 5,AUDpo5,791,left,all,2031,141.901,523.952,2031,141.901,523.952
Posterior auditory area/ layer 5,AUDpo5,791,right,all,1218,113.407,445.168,1218,113.407,445.168
Posterior auditory area/ layer 6a,AUDpo6a,249,left,all,817,167.239,501.006,817,167.239,501.006
Posterior auditory area/ layer 6a,AUDpo6a,249,right,all,701,145.656,424.93,701,145.656,424.93
Posterior auditory area/ layer 6b,AUDpo6b,456,left,all,232,139.226,546.353,232,139.226,546.353
Posterior auditory area/ layer 6b,AUDpo6b,456,right,all,160,169.248,403.319,160,169.248,403.319
Ventral auditory area,AUDv,1018,left,all,23043,145.349,506.12,23043,145.349,506.12
Ventral auditory area,AUDv,1018,right,all,9621,138.415,495.627,9621,138.415,495.627
Ventral auditory area/ layer 1,AUDv1,959,left,all,3428,171.736,418.01,3428,171.736,418.01
Ventral auditory area/ layer 1,AUDv1,959,right,all,0,0,0,0,0,0
Ventral auditory area/ layer 2/3,AUDv2/3,755,left,all,5111,160.662,490.973,5111,160.662,490.973
Ventral auditory area/ layer 2/3,AUDv2/3,755,right,all,201,141.652,577.483,201,141.652,577.483
Ventral auditory area/ layer 4,AUDv4,990,left,all,3653,144.523,542.704,3653,144.523,542.704
Ventral auditory area/ layer 4,AUDv4,990,right,all,715,127.504,588.667,715,127.504,588.667
Ventral auditory area/ layer 5,AUDv5,1023,left,all,7650,121.77,537.449,7650,121.77,537.449
Ventral auditory area/ layer 5,AUDv5,1023,right,all,5331,130.991,501.733,5331,130.991,501.733
Ventral auditory area/ layer 6a,AUDv6a,520,left,all,2913,149.078,508.34,2913,149.078,508.34
Ventral auditory area/ layer 6a,AUDv6a,520,right,all,2899,153.966,469.66,2899,153.966,469.66
Ventral auditory area/ layer 6b,AUDv6b,598,left,all,288,158.572,505.031,288,158.572,505.031
Ventral auditory area/ layer 6b,AUDv6b,598,right,all,475,141.878,410.897,475,141.878,410.897
Visual areas,VIS,669,left,all,113180,162.58,597.006,113180,162.58,597.006
Visual areas,VIS,669,right,all,32809,137.725,538.374,32809,137.725,538.374
Anterolateral visual area,VISal,402,left,all,9044,156.768,541.891,9044,156.768,541.891
Anterolateral visual area,VISal,402,right,all,3151,133.375,493.724,3151,133.375,493.724
Anterolateral visual area/ layer 1,VISal1,1074,left,all,1649,135.947,439.749,1649,135.947,439.749
Anterolateral visual area/ layer 1,VISal1,1074,right,all,0,0,0,0,0,0
Anterolateral visual area/ layer 2/3,VISal2/3,905,left,all,2640,187.188,544.702,2640,187.188,544.702
Anterolateral visual area/ layer 2/3,VISal2/3,905,right,all,217,156.842,464.659,217,156.842,464.659
Anterolateral visual area/ layer 4,VISal4,1114,left,all,1196,179.809,595.468,1196,179.809,595.468
Anterolateral visual area/ layer 4,VISal4,1114,right,all,393,138.394,488.534,393,138.394,488.534
Anterolateral visual area/ layer 5,VISal5,233,left,all,2698,136.92,578.595,2698,136.92,578.595
Anterolateral visual area/ layer 5,VISal5,233,right,all,1388,117.073,514.569,1388,117.073,514.569
Anterolateral visual area/ layer 6a,VISal6a,601,left,all,702,127.364,540.467,702,127.364,540.467
Anterolateral visual area/ layer 6a,VISal6a,601,right,all,934,142.148,481.399,934,142.148,481.399
Anterolateral visual area/ layer 6b,VISal6b,649,left,all,159,160.945,535.031,159,160.945,535.031
