Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Primary auditory area/ layer 1,AUDp1,735,left,all,3483,723.733,1661.27,3483,723.733,1661.27
Primary auditory area/ layer 1,AUDp1,735,right,all,2761,727.566,1531.47,2761,727.566,1531.47
Primary auditory area/ layer 2/3,AUDp2/3,251,left,all,1396,175.746,713.686,1396,175.746,713.686
Primary auditory area/ layer 2/3,AUDp2/3,251,right,all,1194,169.7,627.775,1194,169.7,627.775
Primary auditory area/ layer 4,AUDp4,816,left,all,1216,181.328,727.36,1216,181.328,727.36
Primary auditory area/ layer 4,AUDp4,816,right,all,630,190.966,688.684,630,190.966,688.684
Primary auditory area/ layer 5,AUDp5,847,left,all,4145,195.681,684.467,4145,195.681,684.467
Primary auditory area/ layer 5,AUDp5,847,right,all,3183,191.278,649.374,3183,191.278,649.374
Primary auditory area/ layer 6a,AUDp6a,954,left,all,1251,169.437,635.221,1251,169.437,635.221
Primary auditory area/ layer 6a,AUDp6a,954,right,all,1070,166.251,614.526,1070,166.251,614.526
Primary auditory area/ layer 6b,AUDp6b,1005,left,all,233,155.321,585.27,233,155.321,585.27
Primary auditory area/ layer 6b,AUDp6b,1005,right,all,251,151.36,578.339,251,151.36,578.339
Posterior auditory area,AUDpo,1027,left,all,3047,322.005,948.085,3047,322.005,948.085
Posterior auditory area,AUDpo,1027,right,all,2318,334.248,892.278,2318,334.248,892.278
Posterior auditory area/ layer 1,AUDpo1,696,left,all,1034,588.614,1630.09,1034,588.614,1630.09
Posterior auditory area/ layer 1,AUDpo1,696,right,all,839,623.78,1500.64,839,623.78,1500.64
Posterior auditory area/ layer 2/3,AUDpo2/3,643,left,all,345,170.333,596.658,345,170.333,596.658
Posterior auditory area/ layer 2/3,AUDpo2/3,643,right,all,256,170.901,555.992,256,170.901,555.992
Posterior auditory area/ layer 4,AUDpo4,759,left,all,221,180.974,606.154,221,180.974,606.154
Posterior auditory area/ layer 4,AUDpo4,759,right,all,116,167.879,567.698,116,167.879,567.698
Posterior auditory area/ layer 5,AUDpo5,791,left,all,1084,197.362,606.259,1084,197.362,606.259
Posterior auditory area/ layer 5,AUDpo5,791,right,all,827,174.536,551.593,827,174.536,551.593
Posterior auditory area/ layer 6a,AUDpo6a,249,left,all,279,166.182,571.921,279,166.182,571.921
Posterior auditory area/ layer 6a,AUDpo6a,249,right,all,207,161.733,519.594,207,161.733,519.594
Posterior auditory area/ layer 6b,AUDpo6b,456,left,all,84,160.184,556.429,84,160.184,556.429
Posterior auditory area/ layer 6b,AUDpo6b,456,right,all,73,142.336,511.658,73,142.336,511.658
Ventral auditory area,AUDv,1018,left,all,9683,390.989,1002.16,9683,390.989,1002.16
Ventral auditory area,AUDv,1018,right,all,5600,275.731,729.061,5600,275.731,729.061
Ventral auditory area/ layer 1,AUDv1,959,left,all,2844,895.27,1811.61,2844,895.27,1811.61
Ventral auditory area/ layer 1,AUDv1,959,right,all,1104,694.207,1379.18,1104,694.207,1379.18
Ventral auditory area/ layer 2/3,AUDv2/3,755,left,all,1133,161.005,687.512,1133,161.005,687.512
Ventral auditory area/ layer 2/3,AUDv2/3,755,right,all,760,158.62,555.183,760,158.62,555.183
Ventral auditory area/ layer 4,AUDv4,990,left,all,869,178.559,693.25,869,178.559,693.25
Ventral auditory area/ layer 4,AUDv4,990,right,all,528,185.209,597.547,528,185.209,597.547
Ventral auditory area/ layer 5,AUDv5,1023,left,all,3259,194.342,658.814,3259,194.342,658.814
Ventral auditory area/ layer 5,AUDv5,1023,right,all,2129,184.552,574.595,2129,184.552,574.595
Ventral auditory area/ layer 6a,AUDv6a,520,left,all,1381,169.646,650.45,1381,169.646,650.45
Ventral auditory area/ layer 6a,AUDv6a,520,right,all,929,155.614,559.291,929,155.614,559.291
Ventral auditory area/ layer 6b,AUDv6b,598,left,all,197,175.487,634.147,197,175.487,634.147
Ventral auditory area/ layer 6b,AUDv6b,598,right,all,150,145.821,531.933,150,145.821,531.933
Visual areas,VIS,669,left,all,70870,280.98,968.682,70870,280.98,968.682
Visual areas,VIS,669,right,all,43434,309.022,931.928,43434,309.022,931.928
Anterolateral visual area,VISal,402,left,all,4144,291.165,949.971,4144,291.165,949.971
Anterolateral visual area,VISal,402,right,all,3052,287.796,900.868,3052,287.796,900.868
Anterolateral visual area/ layer 1,VISal1,1074,left,all,1311,514.709,1645.16,1311,514.709,1645.16
Anterolateral visual area/ layer 1,VISal1,1074,right,all,998,512.542,1540.11,998,512.542,1540.11
